b_values,loglikelihood
1.0,1011.9085693359375
1.2105263471603394,1845.8931884765625
1.4210526943206787,1230.9210205078125
1.6315789222717285,1278.10986328125
1.8421052694320679,1474.40966796875
2.0526316165924072,1164.889404296875
2.263157844543457,955.16845703125
2.473684310913086,1317.6885986328125
2.6842105388641357,1827.4244384765625
2.8947367668151855,865.9715576171875
3.1052632331848145,1692.5302734375
3.3157894611358643,838.7998046875
3.526315689086914,1073.004150390625
3.736842155456543,1394.9171142578125
3.9473683834075928,1037.244873046875
4.157894611358643,1289.3636474609375
4.3684210777282715,2343.33349609375
4.5789475440979,1205.4814453125
4.789473533630371,994.1112060546875
5.0,1284.8436279296875
