b_values,p0_values,loglikelihood
-10.0,-15.0,270498.06
-10.0,-12.75,1308.4171
-10.0,-10.5,297.92288
-10.0,-8.25,4942.7847
-10.0,-6.0,4519.8413
-7.75,-15.0,2572.4407
-7.75,-12.75,2261.486
-7.75,-10.5,6067.8184
-7.75,-8.25,272.17584
-7.75,-6.0,370.1501
-5.5,-15.0,17322.723
-5.5,-12.75,7914.4985
-5.5,-10.5,192.04718
-5.5,-8.25,272.8541
-5.5,-6.0,16323.653
-3.25,-15.0,180704.34
-3.25,-12.75,416.8891
-3.25,-10.5,2964.6567
-3.25,-8.25,2594.6028
-3.25,-6.0,6.542737
-1.0,-15.0,35163.758
-1.0,-12.75,17036.307
-1.0,-10.5,43.982864
-1.0,-8.25,89.059654
-1.0,-6.0,150.12856
