b_values,p0_values,loglikelihood
-10.0,-15.0,11420.555
-10.0,-12.75,12474.065
-10.0,-10.5,88.11509
-10.0,-8.25,251.83522
-10.0,-6.0,131.8842
-7.75,-15.0,3693.3875
-7.75,-12.75,108.48239
-7.75,-10.5,341.19382
-7.75,-8.25,7680.208
-7.75,-6.0,1536.0178
-5.5,-15.0,32251.0
-5.5,-12.75,63.024715
-5.5,-10.5,2974.5967
-5.5,-8.25,1435.8932
-5.5,-6.0,933.63275
-3.25,-15.0,45.56578
-3.25,-12.75,695.9684
-3.25,-10.5,18344.332
-3.25,-8.25,945.95996
-3.25,-6.0,93.36621
-1.0,-15.0,194802.55
-1.0,-12.75,12642.042
-1.0,-10.5,18386.016
-1.0,-8.25,1978.0522
-1.0,-6.0,1361.8624
