b_values,p0_values,loglikelihood
2.9816513,-12.06422,3750.2432
2.9816513,-12.018349,14268.6045
2.9816513,-11.972477,171422.69
2.9816513,-11.926605,240.84158
2.9816513,-11.8807335,492.2749
2.9816513,-11.834863,15743.659
2.9816513,-11.788991,156.26128
2.9816513,-11.743119,9.415029
2.9816513,-11.6972475,39145.406
2.9816513,-11.651376,37808.707
2.9816513,-11.605505,961.9155
2.9816513,-11.559633,462.39954
2.9816513,-11.5137615,11942.954
2.9816513,-11.46789,65876.21
2.9816513,-11.422018,601.1715
2.9816513,-11.376146,266.8319
2.9816513,-11.330276,2730.4456
2.9816513,-11.284404,5.182431
2.9816513,-11.238532,145953.78
2.9816513,-11.19266,12821.911
2.9816513,-11.146789,9268.352
2.9816513,-11.100918,2704.5173
2.9816513,-11.055046,1169.1393
2.9816513,-11.009174,6.40996
2.9816513,-10.963303,121300.33
2.9816513,-10.917431,48.88616
2.9816513,-10.87156,45536.77
2.9816513,-10.825688,1706.405
2.9816513,-10.779817,1072.979
2.9816513,-10.733945,42175.203
2.9816513,-10.688073,22683.957
2.9816513,-10.642201,50255.242
2.9816513,-10.596331,2624.008
2.9816513,-10.550459,66.53549
2.9816513,-10.504587,59928.582
2.9816513,-10.458715,74.10038
2.9816513,-10.412844,1202.3115
2.9816513,-10.366973,139.02553
2.9816513,-10.321101,179.53693
2.9816513,-10.275229,5516.637
2.9816513,-10.229358,47333.387
2.9816513,-10.183486,107.22079
2.9816513,-10.137614,4814.7153
2.9816513,-10.091743,7171.7017
2.9816513,-10.045872,10946.677
2.9816513,-10.0,5648.049
2.9633029,-15.0,99108.54
2.9633029,-14.954128,69588.24
2.9633029,-14.908257,70978.5
2.9633029,-14.862386,220776.6
2.9633029,-14.816514,1670.8395
2.9633029,-14.770642,3214.5574
2.9633029,-14.724771,128230.29
2.9633029,-14.678899,2851.0012
2.9633029,-14.633027,3065.8416
2.9633029,-14.587156,6.7419147
2.9633029,-14.541285,11080.301
2.9633029,-14.495413,18.9292
2.9633029,-14.449541,39191.71
2.9633029,-14.403669,145763.34
2.9633029,-14.357799,718.42786
2.9633029,-14.311927,4846.9624
2.9633029,-14.266055,5509.5493
2.9633029,-14.220183,541.2454
2.9633029,-14.174312,21.9526
2.9633029,-14.12844,106350.44
2.9633029,-14.082569,3732.9998
2.9633029,-14.036697,5.7785645
2.9633029,-13.990826,59179.875
2.9633029,-13.944954,4686.348
2.9633029,-13.899082,150494.7
2.9633029,-13.853211,5441.8887
2.9633029,-13.80734,30125.867
2.9633029,-13.761468,72277.09
2.9633029,-13.715596,178707.05
2.9633029,-13.669724,110161.234
2.9633029,-13.623854,6823.9985
2.9633029,-13.577982,142359.17
