b_values,p0_values,loglikelihood
4.4473686,-12.736842,15592.636
4.4473686,-12.578947,16728.184
4.4473686,-12.421053,207.24553
4.4473686,-12.263158,391.637
4.4473686,-12.105263,11966.628
4.4473686,-11.947369,9229.971
4.4473686,-11.789474,2046.9979
4.4473686,-11.631578,444.4863
4.4473686,-11.473684,127002.11
4.4473686,-11.315789,2080.755
4.4473686,-11.157895,42704.785
4.4473686,-11.0,2492.7964
4.315789,-14.0,41545.586
4.315789,-13.842105,178373.17
4.315789,-13.684211,1012.9956
4.315789,-13.526316,90735.336
4.315789,-13.368422,11090.009
4.315789,-13.210526,4486.356
4.315789,-13.052631,801.97235
4.315789,-12.894737,135107.31
4.315789,-12.736842,2765.301
4.315789,-12.578947,102144.99
4.315789,-12.421053,18041.365
4.315789,-12.263158,387643.25
4.315789,-12.105263,29219.734
4.315789,-11.947369,70.05031
4.315789,-11.789474,12621.012
4.315789,-11.631578,706.825
4.315789,-11.473684,10038.829
4.315789,-11.315789,25084.465
4.315789,-11.157895,1157.4188
4.315789,-11.0,13.527586
4.184211,-14.0,19324.035
4.184211,-13.842105,50569.44
4.184211,-13.684211,92759.766
4.184211,-13.526316,54.094963
4.184211,-13.368422,773.1106
4.184211,-13.210526,125.14625
4.184211,-13.052631,50992.25
4.184211,-12.894737,3751.3037
4.184211,-12.736842,22122.338
4.184211,-12.578947,2019.5756
4.184211,-12.421053,1460.804
4.184211,-12.263158,649.1994
4.184211,-12.105263,2095.2754
4.184211,-11.947369,1087.0009
4.184211,-11.789474,7332.218
4.184211,-11.631578,4.7380185
4.184211,-11.473684,45093.67
4.184211,-11.315789,25466.53
4.184211,-11.157895,27.770184
4.184211,-11.0,4811.696
4.0526314,-14.0,119349.65
4.0526314,-13.842105,12059.217
4.0526314,-13.684211,337.84683
4.0526314,-13.526316,10055.155
4.0526314,-13.368422,143977.8
4.0526314,-13.210526,10169.148
4.0526314,-13.052631,51630.676
4.0526314,-12.894737,12634.081
4.0526314,-12.736842,28934.75
4.0526314,-12.578947,6037.316
4.0526314,-12.421053,1062.1287
4.0526314,-12.263158,504.10056
4.0526314,-12.105263,29771.805
4.0526314,-11.947369,24429.994
4.0526314,-11.789474,31233.69
4.0526314,-11.631578,8284.699
