b_values,p0_values,loglikelihood
1.0,-15.0,1.5687435865402222
1.0,-14.82758617401123,0.8784457445144653
1.0,-14.655172348022461,2.215996503829956
1.0,-14.482758522033691,1.0294963121414185
1.0,-14.310344696044922,2.513331174850464
1.0,-14.137930870056152,4.398764610290527
1.0,-13.965517044067383,0.7387236952781677
1.0,-13.793103218078613,0.6064803004264832
1.0,-13.620689392089844,2.615583658218384
1.0,-13.448275566101074,3.813333749771118
1.0,-13.275861740112305,1.0695760250091553
1.0,-13.103447914123535,0.7789897322654724
1.0,-12.931034088134766,0.648464560508728
1.0,-12.758620262145996,0.9899142384529114
1.0,-12.586206436157227,0.5896451473236084
1.0,-12.413793563842773,1.0339127779006958
1.0,-12.241379737854004,1.8131754398345947
1.0,-12.068965911865234,0.5767057538032532
1.0,-11.896552085876465,0.562390148639679
1.0,-11.724138259887695,0.7779121398925781
1.0,-11.551724433898926,1.0471278429031372
1.0,-11.379310607910156,1.7653720378875732
1.0,-11.206896781921387,0.6687533855438232
1.0,-11.034482955932617,0.8577295541763306
1.0,-10.862069129943848,0.5691604018211365
1.0,-10.689655303955078,1.8277380466461182
1.0,-10.517241477966309,0.9736756682395935
1.0,-10.344827651977539,1.5302116870880127
1.0,-10.17241382598877,0.7503658533096313
1.0,-10.0,0.7007691860198975
1.137930989265442,-15.0,4.460397720336914
1.137930989265442,-14.82758617401123,0.6167686581611633
1.137930989265442,-14.655172348022461,1.1313217878341675
1.137930989265442,-14.482758522033691,1.233744502067566
1.137930989265442,-14.310344696044922,0.7204772233963013
1.137930989265442,-14.137930870056152,3.888052463531494
1.137930989265442,-13.965517044067383,1.4743428230285645
1.137930989265442,-13.793103218078613,0.7551488280296326
1.137930989265442,-13.620689392089844,1.0677474737167358
1.137930989265442,-13.448275566101074,0.8296223282814026
1.137930989265442,-13.275861740112305,0.8833842277526855
1.137930989265442,-13.103447914123535,0.7485674023628235
1.137930989265442,-12.931034088134766,1.4061578512191772
1.137930989265442,-12.758620262145996,4.577831745147705
1.137930989265442,-12.586206436157227,1.05521821975708
1.137930989265442,-12.413793563842773,0.5579068064689636
1.137930989265442,-12.241379737854004,2.7305104732513428
1.137930989265442,-12.068965911865234,2.023740768432617
1.137930989265442,-11.896552085876465,1.9654439687728882
1.137930989265442,-11.724138259887695,2.547872304916382
1.137930989265442,-11.551724433898926,1.4399583339691162
1.137930989265442,-11.379310607910156,1.1331353187561035
1.137930989265442,-11.206896781921387,0.6473028063774109
1.137930989265442,-11.034482955932617,3.310192823410034
1.137930989265442,-10.862069129943848,2.1117005348205566
1.137930989265442,-10.689655303955078,1.5198979377746582
1.137930989265442,-10.517241477966309,1.8887497186660767
1.137930989265442,-10.344827651977539,0.7525513172149658
1.137930989265442,-10.17241382598877,1.1363885402679443
1.137930989265442,-10.0,1.853957176208496
1.2758620977401733,-15.0,0.7018530964851379
1.2758620977401733,-14.82758617401123,2.107349395751953
1.2758620977401733,-14.655172348022461,4.724971771240234
1.2758620977401733,-14.482758522033691,1.0785058736801147
1.2758620977401733,-14.310344696044922,0.7440846562385559
1.2758620977401733,-14.137930870056152,1.8162429332733154
1.2758620977401733,-13.965517044067383,1.4715474843978882
1.2758620977401733,-13.793103218078613,0.5943169593811035
1.2758620977401733,-13.620689392089844,1.5747900009155273
1.2758620977401733,-13.448275566101074,0.6894469857215881
1.2758620977401733,-13.275861740112305,0.7505064606666565
1.2758620977401733,-13.103447914123535,2.856849193572998
1.2758620977401733,-12.931034088134766,0.86168372631073
1.2758620977401733,-12.758620262145996,2.5064384937286377
1.2758620977401733,-12.586206436157227,0.6219472289085388
1.2758620977401733,-12.413793563842773,2.673987627029419
1.2758620977401733,-12.241379737854004,2.3548130989074707
1.2758620977401733,-12.068965911865234,2.91540789604187
1.2758620977401733,-11.896552085876465,0.7331053614616394
1.2758620977401733,-11.724138259887695,0.8776742815971375
1.2758620977401733,-11.551724433898926,1.5028527975082397
1.2758620977401733,-11.379310607910156,3.994478940963745
1.2758620977401733,-11.206896781921387,3.1551756858825684
1.2758620977401733,-11.034482955932617,3.729339599609375
1.2758620977401733,-10.862069129943848,0.9054974317550659
1.2758620977401733,-10.689655303955078,2.203011989593506
1.2758620977401733,-10.517241477966309,0.6504619717597961
1.2758620977401733,-10.344827651977539,4.313214302062988
1.2758620977401733,-10.17241382598877,1.1514171361923218
1.2758620977401733,-10.0,1.0880968570709229
1.4137930870056152,-15.0,1.3315575122833252
1.4137930870056152,-14.82758617401123,0.6848097443580627
1.4137930870056152,-14.655172348022461,1.5384385585784912
1.4137930870056152,-14.482758522033691,0.5943859219551086
1.4137930870056152,-14.310344696044922,1.1424241065979004
1.4137930870056152,-14.137930870056152,0.6016958355903625
1.4137930870056152,-13.965517044067383,3.6929941177368164
1.4137930870056152,-13.793103218078613,2.5912768840789795
1.4137930870056152,-13.620689392089844,1.326645016670227
1.4137930870056152,-13.448275566101074,1.2478957176208496
1.4137930870056152,-13.275861740112305,0.6067879796028137
1.4137930870056152,-13.103447914123535,1.0164250135421753
1.4137930870056152,-12.931034088134766,1.4461675882339478
1.4137930870056152,-12.758620262145996,3.53080153465271
1.4137930870056152,-12.586206436157227,0.7992103099822998
1.4137930870056152,-12.413793563842773,2.1745100021362305
1.4137930870056152,-12.241379737854004,0.5698855519294739
1.4137930870056152,-12.068965911865234,1.472326636314392
1.4137930870056152,-11.896552085876465,3.9164018630981445
1.4137930870056152,-11.724138259887695,0.6496033072471619
1.4137930870056152,-11.551724433898926,0.7892270684242249
1.4137930870056152,-11.379310607910156,2.7739462852478027
1.4137930870056152,-11.206896781921387,0.5944642424583435
1.4137930870056152,-11.034482955932617,1.7402927875518799
1.4137930870056152,-10.862069129943848,1.7129863500595093
1.4137930870056152,-10.689655303955078,2.4799656867980957
1.4137930870056152,-10.517241477966309,1.8888510465621948
1.4137930870056152,-10.344827651977539,1.3006510734558105
1.4137930870056152,-10.17241382598877,1.005541443824768
1.4137930870056152,-10.0,0.9129424691200256
1.5517241954803467,-15.0,2.5228476524353027
1.5517241954803467,-14.82758617401123,2.859806537628174
1.5517241954803467,-14.655172348022461,1.0344566106796265
1.5517241954803467,-14.482758522033691,1.389075756072998
1.5517241954803467,-14.310344696044922,3.25917649269104
1.5517241954803467,-14.137930870056152,2.130483388900757
1.5517241954803467,-13.965517044067383,2.1984150409698486
1.5517241954803467,-13.793103218078613,3.5217888355255127
1.5517241954803467,-13.620689392089844,3.216453790664673
1.5517241954803467,-13.448275566101074,1.0384577512741089
1.5517241954803467,-13.275861740112305,0.9755716323852539
1.5517241954803467,-13.103447914123535,0.8367534279823303
1.5517241954803467,-12.931034088134766,1.648043155670166
1.5517241954803467,-12.758620262145996,2.76485013961792
