b_values,p0_values,loglikelihood
-10.0,-15.0,18059.955
-10.0,-14.526316,10.281581
-10.0,-14.052631,16.261236
-10.0,-13.578947,120.11992
-10.0,-13.105263,3.54113
-10.0,-12.631578,649.9566
-10.0,-12.157895,137.54567
-10.0,-11.684211,1251.7633
-10.0,-11.210526,22109.883
-10.0,-10.736842,521.6737
-10.0,-10.263158,43.125565
-10.0,-9.789474,1019.31885
-10.0,-9.315789,171.14478
-10.0,-8.842105,31.56914
-10.0,-8.368422,348.10083
-10.0,-7.894737,1349.9813
-10.0,-7.4210525,1537.344
-10.0,-6.9473686,5612.049
-10.0,-6.4736843,4663.53
-10.0,-6.0,93.38986
-9.526316,-15.0,10122.745
-9.526316,-14.526316,201.30632
-9.526316,-14.052631,53077.47
-9.526316,-13.578947,3483.1443
-9.526316,-13.105263,123452.07
-9.526316,-12.631578,1003.52545
-9.526316,-12.157895,12.946682
-9.526316,-11.684211,3.6500661
-9.526316,-11.210526,6.673367
-9.526316,-10.736842,35.81671
-9.526316,-10.263158,162.43883
-9.526316,-9.789474,2257.118
-9.526316,-9.315789,8737.33
-9.526316,-8.842105,260.63818
-9.526316,-8.368422,10918.446
-9.526316,-7.894737,190.62582
-9.526316,-7.4210525,4215.9277
-9.526316,-6.9473686,1055.5337
-9.526316,-6.4736843,760.2117
-9.526316,-6.0,1850.603
-9.052631,-15.0,9443.447
-9.052631,-14.526316,17524.691
-9.052631,-14.052631,4321.2427
-9.052631,-13.578947,11644.215
-9.052631,-13.105263,11650.486
-9.052631,-12.631578,294.2857
-9.052631,-12.157895,65.55201
-9.052631,-11.684211,17206.725
-9.052631,-11.210526,31704.717
-9.052631,-10.736842,3691.8623
-9.052631,-10.263158,31045.883
-9.052631,-9.789474,10204.584
-9.052631,-9.315789,2145.8174
-9.052631,-8.842105,51.34394
-9.052631,-8.368422,30432.375
-9.052631,-7.894737,733.475
-9.052631,-7.4210525,72.11618
-9.052631,-6.9473686,768.2567
-9.052631,-6.4736843,8.660146
-9.052631,-6.0,191.5225
-8.578947,-15.0,92314.63
