b_values,p0_values,loglikelihood
6.5526314,-12.736842,4439.2017
6.5526314,-12.578947,91954.17
6.5526314,-12.421053,11.884549
6.5526314,-12.263158,11.953442
6.5526314,-12.105263,166228.62
6.5526314,-11.947369,7475.584
6.5526314,-11.789474,8073.511
6.5526314,-11.631578,1163.6346
6.5526314,-11.473684,1333.6438
6.5526314,-11.315789,109.56113
6.5526314,-11.157895,765.5323
6.5526314,-11.0,5691.162
6.684211,-14.0,12636.887
6.684211,-13.842105,50.021458
6.684211,-13.684211,118643.31
6.684211,-13.526316,79055.21
6.684211,-13.368422,160018.94
6.684211,-13.210526,60.645252
6.684211,-13.052631,270.67404
6.684211,-12.894737,5.843387
6.684211,-12.736842,7183.5767
6.684211,-12.578947,323430.47
6.684211,-12.421053,882.20886
6.684211,-12.263158,51959.793
6.684211,-12.105263,47543.652
6.684211,-11.947369,3410.6125
6.684211,-11.789474,238.33362
6.684211,-11.631578,125100.305
6.684211,-11.473684,6105.4214
6.684211,-11.315789,18655.986
6.684211,-11.157895,211.9807
6.684211,-11.0,7263.3384
6.815789,-14.0,27942.586
6.815789,-13.842105,41087.273
6.815789,-13.684211,6974.747
6.815789,-13.526316,38586.246
6.815789,-13.368422,55014.984
6.815789,-13.210526,1315.1656
6.815789,-13.052631,32266.746
6.815789,-12.894737,2352.8682
6.815789,-12.736842,50.920193
6.815789,-12.578947,254203.94
6.815789,-12.421053,4279.3076
6.815789,-12.263158,5798.482
6.815789,-12.105263,11442.287
6.815789,-11.947369,24293.406
6.815789,-11.789474,14191.942
6.815789,-11.631578,40392.52
6.815789,-11.473684,4.2687798
6.815789,-11.315789,68731.836
6.815789,-11.157895,81.72364
6.815789,-11.0,34763.434
6.9473686,-14.0,60767.914
6.9473686,-13.842105,534.57294
6.9473686,-13.684211,68009.08
6.9473686,-13.526316,39203.613
6.9473686,-13.368422,6626.36
6.9473686,-13.210526,402.79892
6.9473686,-13.052631,5470.029
6.9473686,-12.894737,984.7594
6.9473686,-12.736842,19088.732
6.9473686,-12.578947,121.35826
6.9473686,-12.421053,224981.6
6.9473686,-12.263158,5520.128
6.9473686,-12.105263,52468.46
6.9473686,-11.947369,804.7059
6.9473686,-11.789474,113216.68
6.9473686,-11.631578,451.54602
6.9473686,-11.473684,5717.5806
6.9473686,-11.315789,114768.18
6.9473686,-11.157895,35569.203
6.9473686,-11.0,425.10654
7.0789475,-14.0,271692.12
7.0789475,-13.842105,18.176619
7.0789475,-13.684211,3259.3826
7.0789475,-13.526316,292.60797
7.0789475,-13.368422,4.039138
7.0789475,-13.210526,36.139603
7.0789475,-13.052631,72552.0
7.0789475,-12.894737,84827.55
7.0789475,-12.736842,30684.207
7.0789475,-12.578947,19.357042
7.0789475,-12.421053,51.82064
7.0789475,-12.263158,400.34372
7.0789475,-12.105263,37488.98
7.0789475,-11.947369,3781.6487
7.0789475,-11.789474,133141.78
7.0789475,-11.631578,15770.127
7.0789475,-11.473684,11374.497
7.0789475,-11.315789,158381.36
7.0789475,-11.157895,28909.584
