b_values,loglikelihood
1.0,1725.9779052734375
1.2105263471603394,2526.216796875
1.4210526943206787,2086.765869140625
1.6315789222717285,1888.9134521484375
1.8421052694320679,3752.3583984375
2.0526316165924072,2159.186279296875
2.263157844543457,1392.102783203125
2.473684310913086,2023.2032470703125
2.6842105388641357,1563.10986328125
2.8947367668151855,1764.3314208984375
3.1052632331848145,1237.477783203125
3.3157894611358643,2668.26220703125
3.526315689086914,1192.489990234375
3.736842155456543,2370.581787109375
3.9473683834075928,2302.3740234375
4.157894611358643,1212.4012451171875
4.3684210777282715,1136.616455078125
4.5789475440979,1500.66357421875
4.789473533630371,1055.9627685546875
5.0,1334.7557373046875
