b_values,p0_values,loglikelihood
-10.0,-15.0,105.806015
-10.0,-12.75,37.006214
-10.0,-10.5,801.00397
-10.0,-8.25,287.24036
-10.0,-6.0,292.47748
-7.75,-15.0,2137.6746
-7.75,-12.75,57.95331
-7.75,-10.5,107.33972
-7.75,-8.25,674.8598
-7.75,-6.0,737.3896
-5.5,-15.0,2092.7593
-5.5,-12.75,12.567559
-5.5,-10.5,68.787834
-5.5,-8.25,8359.948
-5.5,-6.0,753.81305
-3.25,-15.0,256.40784
-3.25,-12.75,82928.86
-3.25,-10.5,68.461784
-3.25,-8.25,550.7209
-3.25,-6.0,1050.1907
-1.0,-15.0,3364.1655
-1.0,-12.75,234.87344
-1.0,-10.5,367.13483
-1.0,-8.25,35024.812
-1.0,-6.0,586.16046
