b_values,loglikelihood
1.0,2.0310957431793213
1.2105263471603394,1.0683350563049316
1.4210526943206787,1.6841856241226196
1.6315789222717285,1.558009386062622
1.8421052694320679,0.6370687484741211
2.0526316165924072,3.940279722213745
2.263157844543457,3.458688259124756
2.473684310913086,1.0967543125152588
2.6842105388641357,1.9225114583969116
2.8947367668151855,2.355536460876465
3.1052632331848145,1.2386571168899536
3.3157894611358643,1.4078060388565063
3.526315689086914,0.747081995010376
3.736842155456543,2.00771427154541
3.9473683834075928,0.9912732839584351
4.157894611358643,4.691589832305908
4.3684210777282715,1.9609582424163818
4.5789475440979,3.99855375289917
4.789473533630371,4.245550632476807
5.0,3.636481761932373
