0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16.63999,2411.135,29985.24,6.2226596,5710.43,89349.805,630.34863,3.5187964,32001.58,161.98914,610.4841,15.2545185,17.823666,590.3316,1002.5559
2345.1165,12.700254,54895.113,950.22375,12442.07,202.29535,35270.44,1661.1013,5564.5156,892.06287,18458.092,396.87326,5513.582,354.31372,2248.5806
10808.426,17958.66,152177.52,380.22253,65.84283,63260.434,246.83817,1215.3851,28417.182,353.24908,313.12222,415.18277,9155.92,3889.2888,2468.1052
12.715243,2890.8328,39397.895,8883.242,1103.3413,32.62229,41960.277,230.25572,27252.787,207.98785,661.2689,215.09285,68.65991,302.06827,3204.872
2620.6838,48648.98,78.89876,82162.1,4.1763377,138.99936,497.5409,56.51031,146.39589,23681.406,78189.875,37.005653,109.977844,3090.7725,13741.033
86317.42,337331.94,4.2586718,1134.5217,53742.3,40528.586,493.312,276.04422,181.08727,4.7924967,5250.806,964.9482,19660.252,35.65965,189.60611
29316.193,34302.09,87956.836,1163.295,165.56729,763.81995,113.56945,8.753182,1809.3906,29.655088,193.60713,3542.2593,11232.696,1868.3036,20050.344
79.024635,67934.73,174056.8,75526.13,181324.77,99858.06,56659.305,735.1007,21.31355,626.3758,305.16452,468.2294,1293.3865,1577.5275,338.3759
18268.535,38945.98,964.0344,15353.058,118.62776,234.95602,15551.086,284.47415,166640.72,372.72687,1199.2793,55.318966,22.414698,1282.6661,5431.29
11704.805,279337.53,38852.207,483.4463,1884.1621,129769.125,200430.14,6851.6377,3308.2166,1221.3754,12.180756,1269.9807,492.46094,2943.2007,3.6339118
13618.79,592921.2,1286.018,1381.3693,37556.676,52940.55,10206.996,323.05933,778.79803,1843.6665,4894.3535,33144.88,4304.611,157.76169,29224.322
25416.293,141269.0,13248.131,15695.135,1911.5687,22100.037,14684.941,542.5771,63810.55,202.45407,284.79086,6820.9897,789.23804,11598.684,3807.6333
28952.436,208788.17,26.45481,1163.4979,201.1407,11878.43,131427.2,1059.1278,849.68256,62.4744,846.2822,12827.535,18609.06,23.875061,27.417774
189653.92,259628.9,32124.498,1020.3806,151565.72,252.30576,2224.6912,7717.2744,24410.186,9952.228,17464.008,201.91302,6906.955,23.36958,150.54219
122700.6,348.6176,32801.04,52604.176,11651.909,1093.1473,5044.6494,1336.5277,23720.885,58.579453,21.25763,98.70624,48780.18,563.37225,746.27313
