b_values,loglikelihood
1.0,1263.8400679094448
1.4736842105263157,2431.480172557879
1.9473684210526314,991.2481997327732
2.4210526315789473,996.2033947596361
2.894736842105263,1699.613636338583
3.3684210526315788,1711.8112792335226
3.8421052631578947,2088.920898723715
4.315789473684211,1358.1210928326288
4.789473684210526,1512.931598453332
5.263157894736842,1264.0128727387157
5.7368421052631575,1471.7257826694347
6.2105263157894735,2003.8179123928885
6.684210526315789,2423.8958283053785
7.157894736842105,1699.3547809213358
7.63157894736842,2174.8542651261505
8.105263157894736,2019.52348958678
8.578947368421051,1431.1843718875
9.052631578947368,1556.0540639697367
9.526315789473683,1377.8783530505877
10.0,1077.0850746545893
