b_values,loglikelihood
1.0,3646.583984375
2.0,2936.773193359375
3.0,2388.81005859375
4.0,1961.0992431640625
5.0,1623.918701171875
6.0,1355.6507568359375
7.0,1140.34228515625
8.0,966.0802001953125
9.0,823.878662109375
10.0,706.9027709960938
