b_values,p0_values,loglikelihood
-10.0,-15.0,17933.549
-10.0,-12.75,90832.766
-10.0,-10.5,439.6507
-10.0,-8.25,235.81712
-10.0,-6.0,765.91034
-7.75,-15.0,356.22656
-7.75,-12.75,5.1658316
-7.75,-10.5,267384.56
-7.75,-8.25,408.52646
-7.75,-6.0,504.9975
-5.5,-15.0,119.722305
-5.5,-12.75,1288.2888
-5.5,-10.5,154.06438
-5.5,-8.25,2222.0698
-5.5,-6.0,534.57336
-3.25,-15.0,119502.88
-3.25,-12.75,17785.492
-3.25,-10.5,6.7452626
-3.25,-8.25,1826.8427
-3.25,-6.0,2234.6873
-1.0,-15.0,1155.3975
-1.0,-12.75,128.05952
-1.0,-10.5,55266.906
-1.0,-8.25,479.81796
-1.0,-6.0,5.709484
