b_values,loglikelihood
1.0,1214.1597622582408
1.4736842105263157,1434.3303685874773
1.9473684210526314,1408.3188048378313
2.4210526315789473,1514.2316944015586
2.894736842105263,3425.603239327459
3.3684210526315788,1809.7294435240008
3.8421052631578947,1879.6151729553658
4.315789473684211,1644.9734256645834
4.789473684210526,1713.180789888543
5.263157894736842,2363.2364634547157
5.7368421052631575,1102.8731930539977
6.2105263157894735,2043.3335967765972
6.684210526315789,1638.381075779219
7.157894736842105,1053.5353837345574
7.63157894736842,1339.2191167900332
8.105263157894736,1628.7107301102048
8.578947368421051,1673.2272776804073
9.052631578947368,1916.482860552978
9.526315789473683,2148.3118117291247
10.0,1132.4553833529333
