b_values,loglikelihood
1.0,3057.5119321203324
1.4736842105263157,1358.7573819163767
1.9473684210526314,1080.991498786255
2.4210526315789473,1706.7158390036439
2.894736842105263,2452.8557285667857
3.3684210526315788,2277.0257290135937
3.8421052631578947,1664.200966052399
4.315789473684211,1153.6418081663012
4.789473684210526,2413.5760924656483
5.263157894736842,1929.8195708858502
5.7368421052631575,1290.3957428953995
6.2105263157894735,1001.9819468147138
6.684210526315789,1031.710622241956
7.157894736842105,2346.600147717834
7.63157894736842,1149.6266965633013
8.105263157894736,1192.9386094751421
8.578947368421051,1125.7413242924333
9.052631578947368,1109.4616716922085
9.526315789473683,1537.644903667801
10.0,1183.5220302027926
