a_values,b_values,p0_values,p1_values,p2_values,p3_values,loglikelihood
181997.46875,1.0,-13.5,-3.7447586059570312,-0.6187083125114441,-0.049296870827674866,2.797544479370117
185045.09375,1.0,-13.222222328186035,-4.125890254974365,-0.7879668474197388,-0.0682322084903717,2.7142345905303955
186620.484375,1.0,-12.94444465637207,-4.334961891174316,-0.8890888690948486,-0.0796661451458931,2.8807144165039062
181237.703125,1.0,-12.666666984558105,-4.007922172546387,-0.7911248207092285,-0.07042115181684494,2.8349013328552246
184591.453125,1.0,-12.38888931274414,-3.7206153869628906,-0.7024618983268738,-0.061598263680934906,2.688804864883423
182404.53125,1.0,-12.11111068725586,-4.0321784019470215,-0.848453164100647,-0.07837192714214325,2.705500364303589
184294.34375,1.0,-11.833333015441895,-4.240224361419678,-0.947096049785614,-0.08933846652507782,2.666965961456299
186014.25,1.0,-11.55555534362793,-4.232088565826416,-0.9672411680221558,-0.09232951700687408,2.804537296295166
181438.234375,1.0,-11.277777671813965,-3.593897581100464,-0.7445994019508362,-0.06922442466020584,2.8008129596710205
180384.9375,1.0,-11.0,-3.562842845916748,-0.757124662399292,-0.07151315361261368,2.9663898944854736
183523.625,1.4736841917037964,-13.5,-4.159971714019775,-0.7765036821365356,-0.06611504405736923,2.678952932357788
182484.703125,1.4736841917037964,-13.222222328186035,-4.212904930114746,-0.8192796111106873,-0.07145259529352188,2.7094078063964844
182687.015625,1.4736841917037964,-12.94444465637207,-4.894517421722412,-1.1015374660491943,-0.10226446390151978,2.6932077407836914
184645.8125,1.4736841917037964,-12.666666984558105,-4.305135250091553,-0.8998660445213318,-0.08162122964859009,2.676211357116699
185434.25,1.4736841917037964,-12.38888931274414,-4.337388515472412,-0.9351879358291626,-0.08620668947696686,2.7321739196777344
183091.15625,1.4736841917037964,-12.11111068725586,-4.044384479522705,-0.8460642099380493,-0.07750117033720016,2.6655917167663574
182424.578125,1.4736841917037964,-11.833333015441895,-3.970306873321533,-0.8341837525367737,-0.07641374319791794,2.70792818069458
184391.109375,1.4736841917037964,-11.55555534362793,-4.320596218109131,-0.9986072778701782,-0.09550541639328003,2.677438974380493
184652.96875,1.4736841917037964,-11.277777671813965,-3.6321303844451904,-0.7564479112625122,-0.07028856873512268,2.6774299144744873
181088.3125,1.4736841917037964,-11.0,-3.6546595096588135,-0.788237452507019,-0.07451491802930832,2.848332166671753
185017.6875,1.9473683834075928,-13.5,-4.088821887969971,-0.7450948357582092,-0.06242280453443527,2.732320547103882
181194.0625,1.9473683834075928,-13.222222328186035,-4.053924083709717,-0.7524634003639221,-0.06380414217710495,2.8602492809295654
181387.359375,1.9473683834075928,-12.94444465637207,-4.098845481872559,-0.7925887107849121,-0.06889870762825012,2.821688175201416
185707.890625,1.9473683834075928,-12.666666984558105,-4.311767101287842,-0.8989325165748596,-0.08125332742929459,2.760215997695923
185228.953125,1.9473683834075928,-12.38888931274414,-3.8427205085754395,-0.7463566660881042,-0.06614848971366882,2.7295279502868652
183664.890625,1.9473683834075928,-12.11111068725586,-3.98622989654541,-0.8207841515541077,-0.07457565516233444,2.6556284427642822
186559.921875,1.9473683834075928,-11.833333015441895,-3.7975094318389893,-0.7715853452682495,-0.07013655453920364,2.873782157897949
181415.265625,1.9473683834075928,-11.55555534362793,-3.6093480587005615,-0.7228556275367737,-0.06577225774526596,2.8097259998321533
183214.90625,1.9473683834075928,-11.277777671813965,-3.527777671813965,-0.7140485644340515,-0.0655885860323906,2.6651599407196045
182606.015625,1.9473683834075928,-11.0,-3.776799440383911,-0.8330261707305908,-0.07917816191911697,2.6894826889038086
182098.484375,2.4210526943206787,-13.5,-3.989994764328003,-0.7038738131523132,-0.0577576607465744,2.77689790725708
184473.25,2.4210526943206787,-13.222222328186035,-4.014398574829102,-0.7363894581794739,-0.06206289678812027,2.702036142349243
186017.53125,2.4210526943206787,-12.94444465637207,-3.8255629539489746,-0.6869127154350281,-0.057571399956941605,2.8338592052459717
181836.71875,2.4210526943206787,-12.666666984558105,-4.031970977783203,-0.7888233065605164,-0.06926507502794266,2.7669386863708496
181426.96875,2.4210526943206787,-12.38888931274414,-4.339466571807861,-0.9262983202934265,-0.08445510268211365,2.803941488265991
186438.6875,2.4210526943206787,-12.11111068725586,-3.855320930480957,-0.7676153779029846,-0.06866656243801117,2.8604671955108643
186286.71875,2.4210526943206787,-11.833333015441895,-4.453999996185303,-1.0198110342025757,-0.09642911702394485,2.8378968238830566
184510.765625,2.4210526943206787,-11.55555534362793,-3.856766700744629,-0.8114216327667236,-0.07470865547657013,2.6720173358917236
181838.578125,2.4210526943206787,-11.277777671813965,-4.04744291305542,-0.9108827114105225,-0.08648556470870972,2.755878448486328
182972.9375,2.4210526943206787,-11.0,-3.7346837520599365,-0.8148947358131409,-0.07711425423622131,2.669248104095459
186004.0,2.8947367668151855,-13.5,-4.14509391784668,-0.7601028084754944,-0.06352974474430084,2.831319570541382
185490.8125,2.8947367668151855,-13.222222328186035,-3.885197877883911,-0.68448406457901,-0.05634717270731926,2.7889411449432373
180710.296875,2.8947367668151855,-12.94444465637207,-4.451162815093994,-0.9237446784973145,-0.0826895609498024,2.912208318710327
