b_values,p0_values,loglikelihood
3.0,-14.0,3264.8718
3.0,-13.666667,67163.92
3.0,-13.333333,179568.38
3.0,-13.0,6.0323286
3.0,-12.666667,308.3959
3.0,-12.333333,2.0565395
3.0,-12.0,5591.1626
3.0,-11.666667,16710.3
3.0,-11.333333,8251.107
3.0,-11.0,639.36316
2.7222223,-14.0,490.34195
2.7222223,-13.666667,356031.06
2.7222223,-13.333333,173.24806
2.7222223,-13.0,148146.16
2.7222223,-12.666667,4014.345
2.7222223,-12.333333,776.10205
2.7222223,-12.0,57692.535
2.7222223,-11.666667,314.28653
2.7222223,-11.333333,99.09895
2.7222223,-11.0,14730.603
2.4444444,-14.0,101144.414
2.4444444,-13.666667,55.554424
2.4444444,-13.333333,1284.6676
2.4444444,-13.0,2553.8433
2.4444444,-12.666667,1945.195
2.4444444,-12.333333,4827.738
2.4444444,-12.0,7116.8657
2.4444444,-11.666667,1150.685
2.4444444,-11.333333,26005.209
2.4444444,-11.0,19632.385
2.1666665,-14.0,63987.44
2.1666665,-13.666667,30821.21
2.1666665,-13.333333,50928.574
2.1666665,-13.0,2997.8618
2.1666665,-12.666667,6604.0107
2.1666665,-12.333333,31518.543
2.1666665,-12.0,192.53519
2.1666665,-11.666667,16303.241
2.1666665,-11.333333,486.0161
2.1666665,-11.0,401.16077
1.8888888,-14.0,7709.3057
1.8888888,-13.666667,398517.1
1.8888888,-13.333333,5097.271
1.8888888,-13.0,1293.8005
1.8888888,-12.666667,447.45062
1.8888888,-12.333333,21447.39
1.8888888,-12.0,133.18457
1.8888888,-11.666667,26751.203
1.8888888,-11.333333,1276.0833
1.8888888,-11.0,26176.643
1.6111112,-14.0,54082.652
1.6111112,-13.666667,1107.696
1.6111112,-13.333333,3426.6323
1.6111112,-13.0,115939.305
1.6111112,-12.666667,12.612748
1.6111112,-12.333333,279.60324
1.6111112,-12.0,1345.1737
1.6111112,-11.666667,1961.3464
1.6111112,-11.333333,1158.8788
1.6111112,-11.0,19196.857
1.3333334,-14.0,141.04657
1.3333334,-13.666667,39797.098
1.3333334,-13.333333,10159.539
1.3333334,-13.0,22132.639
1.3333334,-12.666667,45.065804
1.3333334,-12.333333,2223.569
1.3333334,-12.0,4.975674
1.3333334,-11.666667,2228.2036
1.3333334,-11.333333,4.1965246
1.3333334,-11.0,1454.5275
1.0555556,-14.0,2343.1055
1.0555556,-13.666667,16.886538
1.0555556,-13.333333,54502.234
1.0555556,-13.0,1052.8118
1.0555556,-12.666667,57412.316
1.0555556,-12.333333,35444.145
1.0555556,-12.0,2242.1633
1.0555556,-11.666667,363494.12
1.0555556,-11.333333,329461.62
1.0555556,-11.0,17232.213
0.7777778,-14.0,14949.091
0.7777778,-13.666667,80.610374
0.7777778,-13.333333,6123.5107
0.7777778,-13.0,85826.914
0.7777778,-12.666667,105754.65
0.7777778,-12.333333,29.296133
0.7777778,-12.0,43055.688
0.7777778,-11.666667,49.047306
0.7777778,-11.333333,30329.31
0.7777778,-11.0,3635.085
0.5,-14.0,15057.012
0.5,-13.666667,7048.5996
0.5,-13.333333,59974.41
0.5,-13.0,1446.5508
0.5,-12.666667,68.51346
0.5,-12.333333,362376.88
0.5,-12.0,12348.859
0.5,-11.666667,12084.162
0.5,-11.333333,185.33759
0.5,-11.0,12719.811
