b_values,p0_values,loglikelihood
-10.0,-15.0,265.81238
-10.0,-12.75,13133.727
-10.0,-10.5,633.4754
-10.0,-8.25,403.53976
-10.0,-6.0,343.74512
-7.75,-15.0,65.309494
-7.75,-12.75,1330.6521
-7.75,-10.5,9.795257
-7.75,-8.25,18460.031
-7.75,-6.0,28.548513
-5.5,-15.0,13110.001
-5.5,-12.75,783.5348
-5.5,-10.5,622.14417
-5.5,-8.25,1046.6173
-5.5,-6.0,285.25912
-3.25,-15.0,151863.44
-3.25,-12.75,47304.246
-3.25,-10.5,171.3434
-3.25,-8.25,363.28647
-3.25,-6.0,58.19675
-1.0,-15.0,7835.4146
-1.0,-12.75,7124.915
-1.0,-10.5,5919.2266
-1.0,-8.25,314.36566
-1.0,-6.0,614.9775
